🍉西瓜早安好心情音乐欣赏频道,#genre#
Unstoppable,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce4av3bc77u7mqoje2kg&ratio=720p&line=0
Dragostea Din Tei,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c98qrmbc77ucqknl90ag&ratio=720p&line=0



🍉西瓜全国早安景区欣赏频道,#genre#

云龙湖风景区,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
四川九寨沟黄龙五彩池,https://gcalic.v.myalicdn.com/gc/hlwcc_1/index.m3u8
四川四姑娘山隆珠措,https://gcalic.v.myalicdn.com/gc/sgns02_1/index.m3u8
四川峨眉山云海日出,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
四川峨眉山普贤菩萨铜像,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
四川峨眉山普贤菩萨铜像,https://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8
四川峨眉山远眺万佛顶,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8
四川峨眉山远眺贡嘎雪山,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
四川成都安顺廊桥,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8







🍉西瓜央视频道,#genre#

CCTV1,http://go.bkpcp.top/mg/cctv1

 CCTV2,http://go.bkpcp.top/mg/cctv2
 CCTV3,http://go.bkpcp.top/mg/cctv3
 CCTV4,http://go.bkpcp.top/mg/cctv4
 CCTV5,http://go.bkpcp.top/mg/cctv5

CCTV5+,http://go.bkpcp.top/mg/cctv5p

 CCTV6,http://go.bkpcp.top/mg/cctv6

CCTV7,http://go.bkpcp.top/mg/cctv7 CCTV8,http://go.bkpcp.top/mg/cctv8

CCTV9,http://go.bkpcp.top/mg/cctv9

CCTV10,http://go.bkpcp.top/mg/cctv10
 CCTV11,http://go.bkpcp.top/mg/cctv11

CCTV12,http://go.bkpcp.top/mg/cctv12

 CCTV13,http://go.bkpcp.top/mg/cctv13

 CCTV14,http://go.bkpcp.top/mg/cctv14

CCTV15,http://go.bkpcp.top/mg/cctv15

CCTV16,http://go.bkpcp.top/mg/cctv16

CCTV17,http://go.bkpcp.top/mg/cctv17 

cct4欧洲,http://go.bkpcp.top/mg/cctv4o

cct4美洲,http://go.bkpcp.top/mg/cctv4m

CGTN-西,http://go.bkpcp.top/mg/cgtne

 CGTN-阿,http://go.bkpcp.top/mg/cgtna

 CGTN-法,http://go.bkpcp.top/mg/cgtnf

 北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws


浙江卫视,http://go.bkpcp.top/mg/zjws


 江苏卫视,http://go.bkpcp.top/mg/jsws 


湖南卫视,http://go.bkpcp.top/mg/hunws


 广东卫视,http://go.bkpcp.top/mg/gdws 


深圳卫视4k,http://go.bkpcp.top/mg/szws 

山东卫视,http://go.bkpcp.top/mg/sdws


河南卫视,http://go.bkpcp.top/mg/hnws


江西卫视,http://go.bkpcp.top/mg/jxws 


湖北卫视,http://go.bkpcp.top/mg/hubws


 海南卫视,http://go.bkpcp.top/mg/hinws


陕西卫视,http://go.bkpcp.top/mg/sxws 


兵团卫视,http://go.bkpcp.top/mg/btws


 黑龙江视,http://go.bkpcp.top/mg/hljws 


兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u84K


超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001


淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001










西瓜🍉央视备用秒播,#genre#
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1综合,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-2财经,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-3综艺,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-4中文国际,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-5体育,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-6电影,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-7国防军事,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-8电视剧,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-9纪录,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10科教,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11戏曲,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12社会与法,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13新闻,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-13新闻,https://cdn3.946985.qzz.io/live/cctv13/stream.m3u8
CCTV-14少儿,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15音乐,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16奥运,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17农业农村,http://t.061899.xyz/tl/tl.php?id=cctv17
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
大湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
黑龙江卫视,http://t.061899.xyz/tl/tl.php?id=hljws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
内蒙古卫视,http://t.061899.xyz/tl/tl.php?id=nmgws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
厦门卫视,http://113.195.172.192:808/hls/113/index.m3u8



🇨🇳西瓜🍉央视卫视,#genre#
CCTV1-综合,http://114.241.110.111:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV2-财经,http://114.241.110.111:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV3-综艺,http://114.241.110.111:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV4-国际,http://114.241.110.111:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV5-体育,http://114.241.110.111:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV6-电影,http://114.241.110.111:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV7-军农,http://114.241.110.111:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV8-电视剧,http://114.241.110.111:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV9-纪录,http://114.241.110.111:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV10-科教,http://114.241.110.111:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV11-戏曲,http://114.241.110.111:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV12-社会与法,http://114.241.110.111:85/tsfile/live/12/1012_1.m3u8?key=txiptv
CCTV13-新闻,http://114.241.110.111:85/tsfile/live/13/1013_1.m3u8?key=txiptv
CCTV14-少儿,http://114.241.110.111:85/tsfile/live/14/1014_1.m3u8?key=txiptv
CCTV15-音乐,http://114.241.110.111:85/tsfile/live/15/1015_1.m3u8?key=txiptv
北京卫视,http://114.241.110.111:85/tsfile/live/16/1016_1.m3u8?key=txiptv
湖南卫视高清,http://114.241.110.111:85/tsfile/live/26/1026_1.m3u8?key=txiptv
浙江卫视-高清,http://114.241.110.111:85/tsfile/live/27/1027_1.m3u8?key=txiptv
江苏卫视-高清,http://114.241.110.111:85/tsfile/live/28/1028_1.m3u8?key=txiptv
安徽卫视,http://114.241.110.111:85/tsfile/live/29/1029_1.m3u8?key=txiptv
天津卫视-高清,http://114.241.110.111:85/tsfile/live/30/1030_1.m3u8?key=txiptv
辽宁卫视,http://114.241.110.111:85/tsfile/live/31/1031_1.m3u8?key=txiptv
江苏卫视,http://114.241.110.111:85/tsfile/live/32/1032_1.m3u8?key=txiptv
云南卫视,http://114.241.110.111:85/tsfile/live/33/1033_1.m3u8?key=txiptv
河南卫视,http://114.241.110.111:85/tsfile/live/34/1034_1.m3u8?key=txiptv
黑龙江卫视-高清,http://114.241.110.111:85/tsfile/live/35/1035_1.m3u8?key=txiptv
四川卫视,http://114.241.110.111:85/tsfile/live/36/1036_1.m3u8?key=txiptv
江西卫视,http://114.241.110.111:85/tsfile/live/37/1037_1.m3u8?key=txiptv
贵州卫视-高清,http://114.241.110.111:85/tsfile/live/38/1038_1.m3u8?key=txiptv
深圳卫视,http://114.241.110.111:85/tsfile/live/39/1039_1.m3u8?key=txiptv
湖北卫视-高清,http://114.241.110.111:85/tsfile/live/40/1040_1.m3u8?key=txiptv
东方卫视-高清,http://114.241.110.111:85/tsfile/live/41/1041_1.m3u8?key=txiptv
重庆卫视,http://114.241.110.111:85/tsfile/live/42/1042_1.m3u8?key=txiptv
东南卫视,http://114.241.110.111:85/tsfile/live/43/1043_1.m3u8?key=txiptv
河北卫视-高清,http://114.241.110.111:85/tsfile/live/44/1044_1.m3u8?key=txiptv
广东卫视-高清,http://114.241.110.111:85/tsfile/live/45/1045_1.m3u8?key=txiptv
广西卫视,http://114.241.110.111:85/tsfile/live/46/1046_1.m3u8?key=txiptv
吉林卫视,http://114.241.110.111:85/tsfile/live/47/1047_1.m3u8?key=txiptv
陕西卫视,http://114.241.110.111:85/tsfile/live/48/1048_1.m3u8?key=txiptv
山西卫视,http://114.241.110.111:85/tsfile/live/49/1049_1.m3u8?key=txiptv
内蒙古卫视,http://114.241.110.111:85/tsfile/live/50/1050_1.m3u8?key=txiptv
青海卫视,http://114.241.110.111:85/tsfile/live/51/1051_1.m3u8?key=txiptv
宁夏卫视,http://114.241.110.111:85/tsfile/live/52/1052_1.m3u8?key=txiptv
西藏卫视,http://114.241.110.111:85/tsfile/live/53/1053_1.m3u8?key=txiptv

🍅西瓜🍉央视高码,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1 
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2 
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3 
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4 
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5 
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p 
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6 
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7 
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11 
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12 
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14 
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15 
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16 
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17 

🍎西瓜🍉卫视高码,#genre#
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws 
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws 
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws 
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws 
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws 
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws 
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws 
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws 
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws 
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws 
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws 
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws 
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws 
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws 
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws 
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws 
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws 
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws 
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws 
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws 
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws 
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws 
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws 
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

💝西瓜🍉咪咕央视卫视,#genre# 
CCTV1咪咕,http://go.bkpcp.top/mg/cctv1 
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2 
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3 
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4 
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5 
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p 
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6 
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7 
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8 
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9 
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10 
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11 
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12 
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13 
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14 
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15 
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16 
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17 
北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws 
广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws 
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws







西瓜🍉测试港台频道,#genre#




翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=kBXBw8&tk=EuWQIWwVA7n1
Now体育台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=i7qcMb&tk=0t5zXj74DTAa
Now星影台,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷台,http://rihou.cc:555/tv/[Bx]Now爆谷
Popc,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=1h57UQ&tk=EuWQIWwVA7n1


西瓜🍉TVB 无线功夫国语,http://rihou.cc:555/tv/[Hk]无线功夫
西瓜🍉无线功夫粤,http://rihou.cc:555/tv/[Pd]无线功夫


西瓜🍉HUB娱家台,http://rihou.cc:555/tv/[Hk]HUB娱家
西瓜🍉HUB都会台,http://rihou.cc:555/tv/[Hk]HUB都会

TVB明珠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0kKsxj&tk=EuWQIWwVA7n1
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=bfIYXv&tk=EuWQIWwVA7n1
TVB星河,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VJWJ87&tk=EuWQIWwVA7n1
HOY资讯台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WXgzw5&tk=aeFo3Lxm1DH1#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=26oyQ0&tk=EuWQIWwVA7n1
TVB生活台,P2p://starvod.xyz:19806/f4650e7cb54645f79ea52469b84ef3c4.ts
HOYTV,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=gEK75H&tk=EuWQIWwVA7n1
美亚电影,http://tl.061833.xyz/tl/null-5#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YUJ2Ne&tk=EuWQIWwVA7n1
华丽翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YEuB5l&tk=EuWQIWwVA7n1
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=8dQtqz&tk=EuWQIWwVA7n1
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=hobLsE&tk=EuWQIWwVA7n1
TVB娱乐新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=LRplhd&tk=EuWQIWwVA7n1
星空卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Bd1aIz&tk=EuWQIWwVA7n1
星空音乐,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Z2F9tK&tk=EuWQIWwVA7n1
Now赛车,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=lQoCrL&tk=EuWQIWwVA7n1
天映频道,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=J0eVbj&tk=EuWQIWwVA7n1
Viutv,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=gCuyOc&tk=EuWQIWwVA7n1
天映经典,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=r4NJCe&tk=EuWQIWwVA7n1
Viutv 6,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=KHvC8R&tk=EuWQIWwVA7n1
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=xvUbhs&tk=EuWQIWwVA7n1
港台31,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=73BH78&tk=EuWQIWwVA7n1
港台32,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=KBbDJN&tk=EuWQIWwVA7n1
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=nfTarK&tk=EuWQIWwVA7n1
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3DjwET&tk=EuWQIWwVA7n1
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=5icOTx&tk=EuWQIWwVA7n1
有线18,P2p://starvod.xyz:19806/72740144b3744949b05bd0220bd4c231.ts
亞洲新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=vvt3PJ&tk=EuWQIWwVA7n1
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YDObuw&tk=EuWQIWwVA7n1
千禧经典台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=9sKwi6&tk=EuWQIWwVA7n1
NOW英超1台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=OnKAal&tk=EuWQIWwVA7n1
NOW星影台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0uNhlb&tk=EuWQIWwVA7n1
NOW爆谷台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=x8KJN0&tk=EuWQIWwVA7n1
香港卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=N0GjsU&tk=EuWQIWwVA7n1
亚洲卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3ki19A&tk=EuWQIWwVA7n1
环球电视台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=zSSoku&tk=EuWQIWwVA7n1
Astro AOD,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Tw2plm&tk=EuWQIWwVA7n1
Astro AEC,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=PanOoK&tk=EuWQIWwVA7n1
爱奇艺,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=q3aeXl&tk=EuWQIWwVA7n1
Astro QJ,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=TFX0Pa&tk=EuWQIWwVA7n1
Astro欢喜台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=NpVAGh&tk=EuWQIWwVA7n1

西瓜🍉云☁️电视试看港澳频道,#genre#
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22

西瓜🍉无线赛马,http://rihou.cc:555/tv/[Bx]无线赛马
西瓜🍉无线奖门,http://rihou.cc:555/tv/[Hk]无线奖门
西瓜🍉无线金曲,http://rihou.cc:555/tv/[Hk]无线金曲


HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41




💎西瓜🍉台🇼🇸湾💎,#genre#

西瓜🍉经典TVB武侠(国),http://hls-pull-wicketpw.speedws.com/live/chNDM1yls4gDfbemYe3QFaC10n2vqBePUyvCKs7NLnIKhl7lKu.flv
西瓜🍉龙华电影,https://cdn8.163189.xyz/163189/lhdy
西瓜🍉龙华经典,https://cdn8.163189.xyz/163189/lhjd
西瓜🍉龙华偶像,https://cdn8.163189.xyz/163189/lhox
西瓜🍉龙华日韩,https://cdn8.163189.xyz/163189/lhrh
西瓜🍉龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
西瓜🍉新加波5频道,https://cdn6.101.qzz.io/163189/ch5
西瓜🍉新加波8频道,https://cdn6.101.qzz.io/163189/ch8
西瓜🍉新加波U频道,https://cdn6.101.qzz.io/163189/chu

西瓜🍉TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
西瓜🍉非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44
西瓜🍉民视,http://iptv.4666888.xyz/iptv2A.php?id=55
西瓜🍉華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
西瓜🍉爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
西瓜🍉靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
西瓜🍉靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
西瓜🍉邵氏武侠,http://iptv.4666888.xyz/iptv2A.php?id=40
西瓜🍉東森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
西瓜🍉龍華电影,http://iptv.4666888.xyz/iptv2A.php?id=45
西瓜🍉民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
