星空云电视禁止商用,#genre#
新视觉HD,http://221.7.49.226:50085/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
新视觉HD,http://gat.bkpcp.top/ymg.php?id=mlzq
新视觉HD,http://t.061899.xyz/tl/dq.php?id=mlzq
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
 
凤凰电影,http://39.107.120.164:8080/live/diyp_fhdy.m3u8
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8$官网
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$官网
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam
星空台湾,#genre#
温馨提醒:设置超时30秒最佳,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd20.mp4
中天新闻,http://rihou.cc:555/tv/[Hk]中天新聞
中天新闻,http://dungou.szius.com:8080/live/yifatv-ztxw01.flv
寰宇新闻,http://rihou.cc:555/tv/[Hk]寰宇新闻
中视新闻,http://rihou.cc:555/tv/[Hk]中视新闻
东森新闻,http://rihou.cc:555/tv/[4G]东森新闻
三立新闻,http://rihou.cc:555/tv/[4G]三立新闻
tvbS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
民视新闻,http://rihou.cc:555/tv/[4G]民视新闻
中视新闻,http://rihou.cc:555/tv/[4G]中视新闻
中视新闻,http://rihou.cc:555/tv/[Hk]中视新闻
华视新闻,http://rihou.cc:555/tv/[4G]华视新闻
tvbS新闻,http://rihou.cc:555/tv/[4G]tvbS新闻
tvbS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
tvbS,http://rihou.cc:555/tv/[4G]tvbS闽南
民视,http://rihou.cc:555/tv/[4G]民视闽南
民视,http://rihou.cc:555/tv/[4G]民视南闽
中视,http://rihou.cc:555/tv/[4G]中视闽南
华视,http://rihou.cc:555/tv/[4G]华视闽南
寰宇,http://rihou.cc:555/tv/[4G]寰宇闽南
tvbS,http://rihou.cc:555/tv/[Hk]tvbS南闽

中天亚洲
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
东森新闻,http://211.72.174.95:8138/0.ts
民视新闻,http://211.72.174.95:8117/0.ts
中视,http://211.72.174.95:8113/0.ts
华视,http://211.72.174.95:8114/0.ts
公视,http://211.72.174.95:8116/0.ts
民视,http://211.72.174.95:8115/0.ts
台视,http://211.72.174.95:8112/0.ts
寰宇新闻台湾,P2p://starvod.xyz:19806/afe7794ac5bf40ba96830dd97318be8c.ts
中视经典,P2p://starvod.xyz:19806/c523db6b2af648daa7c4c6bc2b8b4fa0.ts
民视第一,P2p://starvod.xyz:19806/6a62462b09e141a289c6882ef0ae3d6d.ts
民视台湾,P2p://starvod.xyz:19806/0ad1202aa2fe4fb4872479db5e384e46.ts
台视财经,P2p://starvod.xyz:19806/0817341552e94d809c49a1a48598b8f1.ts
台视综合,P2p://starvod.xyz:19806/c37a6ec58dd140ccab0e25b94849ee06.ts
tvbs亚洲,P2p://starvod.xyz:19806/62e69ecfa7ad4edfa092d77d9a9347d1.ts
tvbs精采,P2p://starvod.xyz:19806/e9b905add7be4a3abd0a1993053ab547.ts
龙华偶像,P2p://starvod.xyz:19806/b3c35c2e01d44a31b17efef0af0ebc64.ts
龙华戏剧,P2p://starvod.xyz:19806/6a6681f04fcc4478886cded08a10c658.ts
靖天育乐,P2p://starvod.xyz:19806/9dfcf4658000439aadcf1feb841a8887.ts
ELta影剧,P2p://starvod.xyz:19806/0ae8227ad4ca480499bdd9280ca57f7f.ts
EYE-戏剧,P2p://starvod.xyz:19806/5756cf2acc364bd5ab062db33ddfad4b.ts
SMARt知识晴,P2p://starvod.xyz:19806/91503615eaa2416b929e56f178be5100.ts
韩国娱乐,P2p://starvod.xyz:19806/10ec27f261d74e86919383fdb6da355c.ts
三立戏剧,P2p://starvod.xyz:19806/eb30a7e16f1841c6900b45c8be342071.ts
三立综合,P2p://147.135.39.171:9906/6869374a000888579acb331f46c77c60.ts
纬来精采,P2p://147.135.39.171:9906/68693691000447559ac85f5e03845769.ts
壹综合'tv,P2p://147.135.39.171:9906/685f810d000eeaf174db4a19563a6520.ts
中视菁采,P2p://147.135.39.171:9906/6867a07b0000813094960c2053bb31ec.ts
八大频道,P2p://147.135.39.171:9906/686141c600004a257bb419081c1d2844.ts


Taiwan+,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8

新唐人,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8

Love Nature,P2p://starvod.xyz:19806/ba87030233c046908d7c7bfaa3ff9df6.ts#http://tl.061833.xyz/tl/lovenaturehd
Wild TV (1080p),https://dfhsahpa45kk2.cloudfront.net/scheduler/scheduleMaster/476.m3u8
动物星球,https://smt.passwdword.xyz/Smart.php?id=animalplanet_twn
Discovery Asia 
BBC EARTH,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
NatGeo Wild

人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心电视,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8 
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
星空港台,#genre#
翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=kBXBw8&tk=EuWQIWwVA7n1
Now体育台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=i7qcMb&tk=0t5zXj74DTAa
Now星影台,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷台,http://rihou.cc:555/tv/[Bx]Now爆谷
Popc,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=1h57UQ&tk=EuWQIWwVA7n1


TVB 无线功夫国语,http://rihou.cc:555/tv/[Hk]无线功夫
无线功夫粤,http://rihou.cc:555/tv/[Pd]无线功夫


HUB娱家台,http://rihou.cc:555/tv/[Hk]HUB娱家
HUB都会台,http://rihou.cc:555/tv/[Hk]HUB都会

TVB明珠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0kKsxj&tk=EuWQIWwVA7n1
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=bfIYXv&tk=EuWQIWwVA7n1
TVB星河,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VJWJ87&tk=EuWQIWwVA7n1
HOY资讯台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WXgzw5&tk=aeFo3Lxm1DH1#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=26oyQ0&tk=EuWQIWwVA7n1
TVB生活台,P2p://starvod.xyz:19806/f4650e7cb54645f79ea52469b84ef3c4.ts
HOYTV,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=gEK75H&tk=EuWQIWwVA7n1
美亚电影,http://tl.061833.xyz/tl/null-5#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YUJ2Ne&tk=EuWQIWwVA7n1
华丽翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YEuB5l&tk=EuWQIWwVA7n1
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=8dQtqz&tk=EuWQIWwVA7n1
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=hobLsE&tk=EuWQIWwVA7n1
TVB娱乐新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=LRplhd&tk=EuWQIWwVA7n1
星空卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Bd1aIz&tk=EuWQIWwVA7n1
星空音乐,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Z2F9tK&tk=EuWQIWwVA7n1
Now赛车,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=lQoCrL&tk=EuWQIWwVA7n1
天映频道,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=J0eVbj&tk=EuWQIWwVA7n1
Viutv,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=gCuyOc&tk=EuWQIWwVA7n1
天映经典,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=r4NJCe&tk=EuWQIWwVA7n1
Viutv 6,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=KHvC8R&tk=EuWQIWwVA7n1
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=xvUbhs&tk=EuWQIWwVA7n1
港台31,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=73BH78&tk=EuWQIWwVA7n1
港台32,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=KBbDJN&tk=EuWQIWwVA7n1
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=nfTarK&tk=EuWQIWwVA7n1
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3DjwET&tk=EuWQIWwVA7n1
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=5icOTx&tk=EuWQIWwVA7n1
有线18,P2p://starvod.xyz:19806/72740144b3744949b05bd0220bd4c231.ts
亞洲新闻台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=vvt3PJ&tk=EuWQIWwVA7n1
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YDObuw&tk=EuWQIWwVA7n1
千禧经典台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=9sKwi6&tk=EuWQIWwVA7n1
NOW英超1台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=OnKAal&tk=EuWQIWwVA7n1
NOW星影台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0uNhlb&tk=EuWQIWwVA7n1
NOW爆谷台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=x8KJN0&tk=EuWQIWwVA7n1
香港卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=N0GjsU&tk=EuWQIWwVA7n1
亚洲卫视,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3ki19A&tk=EuWQIWwVA7n1
环球电视台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=zSSoku&tk=EuWQIWwVA7n1
Astro AOD,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=Tw2plm&tk=EuWQIWwVA7n1
Astro AEC,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=PanOoK&tk=EuWQIWwVA7n1
爱奇艺,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=q3aeXl&tk=EuWQIWwVA7n1
Astro QJ,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=TFX0Pa&tk=EuWQIWwVA7n1
Astro欢喜台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=NpVAGh&tk=EuWQIWwVA7n1

星空午夜,#genre#
潘多拉粉红,http://sl.tmtv.me/20201226/ubtl.php?cid=411#p5p://0818.02686.cc:20012/5f3f26e00005c41d0a2fc74dc6d2ac31
一本道,http://video1.rhsj520.com:8091/nyrm3/20180105/3/050313-328/1500kb/hls/index.m3u8
二本道,http://video1.rhsj520.com:8091/nyrm3/heyzo337/heyzo_hd_0431_full/1500kb/hls/index.m3u8
日本娱,https://5ed5d165c218d.streamlock.net:441/free/Stream1/playlist.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/chunklist.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/chunklist_w1523462549.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/media-u7n7u13fd_w1523462549_12518.m3u8
松视1台,https://717616144.r.worldssl.net/717616144/tv/ttv11/playlist.m3u8
HAPPY,https://717616144.r.worldssl.net/717616144/tv/ttv12/chunklist.m3u8
HAPPY,https://717616144.r.worldssl.net/717616144/tv/ttv12/chunklist_w1523462550.m3u8
HAPPY,https://717616144.r.worldssl.net/717616144/tv/ttv12/media-u1ccux5o7_w1523462550_12537.m3u8
HAPPY,https://717616144.r.worldssl.net/717616144/tv/ttv12/playlist.m3u8
Playboy,mitv://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790.ts
LOOK,mitv://ns2.hellotvvod.com:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts
松视1台,mitv://ns2.hellotvvod.com:9906/5f897f67000298ef2eafc978696968c5.ts
彩虹e台,mitv://ns2.hellotvvod.com:9906/5f8981c0000ec1bd2eb8f83d6e1d70ec.ts
彩虹MOIVE,mitv://ns2.hellotvvod.com:9906/5f8981c1000557c82eb8f9b427146e0f.ts
潘朵拉完美,mitv://ns2.hellotvvod.com:9906/5f89837800056df62ebfac9c6a20310d.ts
惊艳电影台,mitv://ns2.hellotvvod.com:9906/5f898378000aecef2ebfae03144d6e94.ts
松视2台,mitv://ns2.hellotvvod.com:9906/5f89837900017eef2ebfaf7a483e2b6a.ts
JStar极限电影台,mitv://ns2.hellotvvod.com:9906/5f8984c100059f812ec4b1c42bbd637b.ts
花花公子,P2p://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790
花花公子,p2p://147.135.39.171:9906/5e73be64000bc4a119b463b625bf0790.ts
LOOK,P2p://147.135.39.171:9906/5f3416f00002c5c78ac1088558b855d5
极限电影台,P2p://147.135.39.171:9906/5f36af0b000596f594e332a916d829bd
LOOK,P2p://147.135.39.171:9906/5f530073000d434703817f6723af2397
松视2台,p2p://fccseuro.pvbox.live:18912/5c18f8f7000d865da227cc18456f9b78.ts
松视1台,p2p://fccseuro.pvbox.live:18912/5c18f8fb00064883ab4a7502e99eb880.ts
松视3台,p2p://fccseuro.pvbox.live:18912/5c18f9020004cea3f2f4f4dfb50c3fe2.ts
LOOK,p2p://ns1.hellotvvod.com:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts
LOOK,P2p://ns1.hellotvvod.com:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts
松视1台,p2p://ns1.hellotvvod.com:9906/5f897f67000298ef2eafc978696968c5.ts
松视1台,P2p://ns1.hellotvvod.com:9906/5f897f67000298ef2eafc978696968c5.ts
彩虹e台,p2p://ns1.hellotvvod.com:9906/5f8981c0000ec1bd2eb8f83d6e1d70ec.ts
彩虹e台,P2p://ns1.hellotvvod.com:9906/5f8981c0000ec1bd2eb8f83d6e1d70ec.ts
彩虹MOIVE,P2p://ns1.hellotvvod.com:9906/5f8981c1000557c82eb8f9b427146e0f.ts
潘多拉完美,p2p://ns1.hellotvvod.com:9906/5f89837800056df62ebfac9c6a20310d.ts
潘多拉玩美,P2p://ns1.hellotvvod.com:9906/5f89837800056df62ebfac9c6a20310d.ts
惊艳电影台,p2p://ns1.hellotvvod.com:9906/5f898378000aecef2ebfae03144d6e94.ts
惊艳电影台,P2p://ns1.hellotvvod.com:9906/5f898378000aecef2ebfae03144d6e94.ts
松视2台,p2p://ns1.hellotvvod.com:9906/5f89837900017eef2ebfaf7a483e2b6a.ts
松视2台,P2p://ns1.hellotvvod.com:9906/5f89837900017eef2ebfaf7a483e2b6a.ts
极限电影台,p2p://ns1.hellotvvod.com:9906/5f8984c100059f812ec4b1c42bbd637b.ts
JStar极限电影台,P2p://ns1.hellotvvod.com:9906/5f8984c100059f812ec4b1c42bbd637b.ts
LOOK,P2p://ns2.hellotvvod.com:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts#P2p://51.81.90.178:9906/5f6f13fd000df5af9efa871e6c7b3ce4.ts
松视1台,P2p://ns2.hellotvvod.com:9906/5f897f67000298ef2eafc978696968c5.ts
彩虹e台,P2p://ns2.hellotvvod.com:9906/5f8981c0000ec1bd2eb8f83d6e1d70ec.ts
彩虹MOIVE,P2p://ns2.hellotvvod.com:9906/5f8981c1000557c82eb8f9b427146e0f.ts
潘多拉玩美,P2p://ns2.hellotvvod.com:9906/5f89837800056df62ebfac9c6a20310d.ts
惊艳电影台,P2p://ns2.hellotvvod.com:9906/5f898378000aecef2ebfae03144d6e94.ts
松视2台,P2p://ns2.hellotvvod.com:9906/5f89837900017eef2ebfaf7a483e2b6a.ts
Sing新加坡,#genre#
Channel 8,p3p://108.181.32.169:42803/642606be0002dd54ede3d8b40d6c04dc
Channel 8(b),p3p://108.181.32.169:42803/642605590007b381edde676b090919b0
Channel 5,p3p://108.181.32.169:42803/642606de000ae43dede457c221b81de1
Channel 5(b),p3p://108.181.32.169:42803/642606cc000ea9beede41269137f162d
Channel u,p3p://108.181.32.169:42803/642606fa000535beede4c3ae3202280b
Channel u(b),p3p://108.181.32.169:42803/642606ee00041309ede4948330973faf
Suria,p3p://108.181.32.169:42803/642607350004432dede5a9e74ab33b04
Suria(b.),p3p://108.181.32.169:42803/642607270006fbf5ede573e945ee3a6c
Vasantham,p3p://108.181.32.169:42803/6426075f0008f378ede64f2a028a268e
Vasantham(b),p3p://108.181.32.169:42803/64260747000040bcede5ef305d766294
CNA,p3p://108.181.32.169:42803/6426077a00093ea7ede6b8b64d6d4c6e
