多线路央视备用新V4,#genre#
NOW爆谷台,http://bxtv.3a.ink/api.php?id=baogu
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8

经典电影重温,https://yylunbo.ottiptv.cc/yy/1382793140

星光怀旧台,http://data.3g.yy.com/live/hls/1354936134/1354936134.m3u8


经典剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
经典剧场,http://lxajh.top/tv/douyu.php?id=4246519
经典剧场,http://jiaojirentv.top/2020/dy.php?id=4246519
经典剧场,http://zzy789.xyz/douyu1.php?id=4246519
经典剧场,http://zzy789.xyz/douyu1.php?id=4246519
重温经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=e2hBVN&tk=DGOxuaeylBJg

电影_邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519


1905力量影院,http://php.jdshipin.com:8880/1905.php?id=1905dy



千禧經典台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
千禧經典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic

美亞電影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亞電影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MC6C9419277694192776&ct=19234&tsum=43f9d2e13c7cbbce7e5c5ec94fa38750
美亞電影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFDF2848449728484497&ct=19211&tsum=f65f39620c24fee2e633c4727cc48727
HOYTV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv




斗鱼1,https://67886.sdmdbb.com/livetv/hlca/ZGEY_rbNg/ZGEY_rbNg_live.m3u8?auth_key=1761445398-0-0-bd3bf5a023dae69bc2b351adb189d6f0

斗鱼2,https://67886.sdmdbb.com/livetv/hlca/P_8s_rbNg/P_8s_rbNg_live.m3u8?auth_key=1761445475-0-0-3bb40072e3f4fd2433038c20d70f89ac



斗鱼4,https://67886.sdmdbb.com/livetv/hlca/gf0U_9xHR/gf0U_9xHR_live.m3u8?auth_key=1761445577-0-0-e326ab4f1675db385285630567acb8d7

青海西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd
青海西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8?zqinghd
西宁新闻,https://liveout.xntv.tv/a65jur/96iln2.m3u8
西宁生活,https://liveout.xntv.tv/a65jur/90p2i1.m3u8


辽宁：德惠综合,http://stream11.jlntv.cn/dehuitv/playlist.m3u8
九台区电视台,http://stream10.jlntv.cn/jiutaitv/playlist.m3u8
双阳综合,http://stream11.jlntv.cn/shuangyang/playlist.m3u8
磐石综合,http://stream5.jlntv.cn/ps/playlist.m3u8
永吉综合,http://stream10.jlntv.cn/yongji/playlist.m3u8
珲春电视台,http://stream8.jlntv.cn/hctv/playlist.m3u8
汪清综合,http://stream5.jlntv.cn/wq/playlist.m3u8
大安新闻综合,http://stream6.jlntv.cn/da/playlist.m3u8
洮南综合,http://stream5.jlntv.cn/tn/playlist.m3u8
扶余综合,http://stream6.jlntv.cn/fy/playlist.m3u8
公主岭综合,http://stream5.jlntv.cn/gzl/playlist.m3u8
梨树新闻,http://stream6.jlntv.cn/ls/playlist.m3u8
伊通综合,http://stream6.jlntv.cn/yt/playlist.m3u8
东丰综合,http://stream5.jlntv.cn/df/playlist.m3u8
东辽综合,http://stream5.jlntv.cn/dl/playlist.m3u8
抚松综合,http://stream8.jlntv.cn/fs/playlist.m3u8
江源综合,http://stream10.jlntv.cn/jiangyuantv/playlist.m3u8
靖宇综合,http://stream8.jlntv.cn/jytv/playlist.m3u8
临江综合,http://stream8.jlntv.cn/linjiang/playlist.m3u8
辉南综合,http://stream5.jlntv.cn/hn/playlist.m3u8
柳河综合,http://stream5.jlntv.cn/lh/playlist.m3u8


四川,https://swiftplay.hxkjmedia.https://swiftplay.hxkjmedia.com/tv/spbW.m3u8com/tv/spbW.m3u8
汶川,http://live.iwcmt.cn:90/live/zhxw.m3u8
峨眉山,https://embl.emsyd.jrem.cn/dsfdsfdsfdsfsfdshfgj/wwdsfdgd.m3u8?auth_key=1718610605-0-0-23887de4a278cb108ba8936de20eb854
















影迷影院,#genre#
征服,http://cfss.cc/cdn/hy/11601970.m3u8
沈腾,http://cfss.cc/cdn/hy/11601968.m3u8
王晶,http://cfss.cc/cdn/hy/11602058.m3u8
吴京,http://cfss.cc/cdn/hy/11602077.m3u8
成龙,http://cfss.cc/cdn/hy/11342386.m3u8
徐克,http://cfss.cc/cdn/hy/11352909.m3u8
邓超,http://cfss.cc/cdn/hy/11336592.m3u8
徐峥,http://cfss.cc/cdn/hy/11602043.m3u8
黄渤,http://cfss.cc/cdn/hy/11352876.m3u8
周星驰,http://cfss.cc/cdn/hy/11342412.m3u8
林正英,http://cfss.cc/cdn/hy/11342421.m3u8
李连杰,http://cfss.cc/cdn/hy/11342390.m3u8
古天乐,http://cfss.cc/cdn/hy/11352935.m3u8
周润发,http://cfss.cc/cdn/hy/11342387.m3u8
刘德华,http://cfss.cc/cdn/hy/11342424.m3u8
梁家辉,http://cfss.cc/cdn/hy/11342429.m3u8
洪金宝,http://cfss.cc/cdn/hy/11279251.m3u8
张卫健,http://cfss.cc/cdn/hy/11342423.m3u8
庆余年,http://cfss.cc/cdn/hy/11352960.m3u8
赵家班,http://cfss.cc/cdn/hy/11352938.m3u8
芈月传,http://cfss.cc/cdn/hy/11352975.m3u8
婆媳间,http://cfss.cc/cdn/hy/21059568.m3u8
捉妖记,http://cfss.cc/cdn/hy/11342414.m3u8
甄嬛传,http://cfss.cc/cdn/hy/11601971.m3u8
好先生,http://cfss.cc/cdn/hy/11602088.m3u8
铁梨花,http://cfss.cc/cdn/hy/11352912.m3u8
神话片,http://cfss.cc/cdn/hy/11352913.m3u8
鬼吹灯,http://cfss.cc/cdn/hy/11352871.m3u8
宝莲灯,http://cfss.cc/cdn/hy/21059563.m3u8
水浒传,http://cfss.cc/cdn/hy/26355860.m3u8
西游记,http://cfss.cc/cdn/hy/26355861.m3u8
灰太狼,http://cfss.cc/cdn/hy/23865080.m3u8
洗冤录,http://cfss.cc/cdn/hy/23903130.m3u8
寻秦记,http://cfss.cc/cdn/hy/23864973.m3u8
特工007,http://cfss.cc/cdn/hy/21059585.m3u8
今晚80后,http://cfss.cc/cdn/hy/11352961.m3u8
新版三国,http://cfss.cc/cdn/hy/11352944.m3u8
新版水浒,http://cfss.cc/cdn/hy/11342384.m3u8
天龙八部,http://cfss.cc/cdn/hy/23903123.m3u8
笑傲江湖,http://cfss.cc/cdn/hy/23865142.m3u8
神雕侠侣,http://cfss.cc/cdn/hy/23865171.m3u8
楚汉骄雄,http://cfss.cc/cdn/hy/23740156.m3u8
金枝欲孽,http://cfss.cc/cdn/hy/23865036.m3u8
雍正王朝,http://cfss.cc/cdn/hy/11342439.m3u8
康熙王朝,http://cfss.cc/cdn/hy/11352940.m3u8
三国演义,http://cfss.cc/cdn/hy/11602081.m3u8
法证先锋,http://cfss.cc/cdn/hy/23863804.m3u8
爱情公寓,http://cfss.cc/cdn/hy/11336726.m3u8
家有儿女,http://cfss.cc/cdn/hy/11352872.m3u8
士兵突击,http://cfss.cc/cdn/hy/11342430.m3u8
父母爱情,http://cfss.cc/cdn/hy/11602071.m3u8
终极三国,http://cfss.cc/cdn/hy/21059562.m3u8
龙门镖局,http://cfss.cc/cdn/hy/11352874.m3u8
网球王子,http://cfss.cc/cdn/hy/11352882.m3u8
龙岭迷窟,http://cfss.cc/cdn/hy/29465863.m3u8
昆仑神宫,http://cfss.cc/cdn/hy/11601957.m3u8
怒晴湘西,http://cfss.cc/cdn/hy/11602075.m3u8
云南虫谷,http://cfss.cc/cdn/hy/11352898.m3u8
南海归墟,http://cfss.cc/cdn/hy/11352883.m3u8
雪山飞狐,http://cfss.cc/cdn/hy/11352952.m3u8
红海行动,http://cfss.cc/cdn/hy/11601986.m3u8
古装情感,http://cfss.cc/cdn/hy/11352881.m3u8
犯罪影片,http://cfss.cc/cdn/hy/11352962.m3u8
小哥美食,http://cfss.cc/cdn/hy/14363949.m3u8
朱雀青龙,http://cfss.cc/cdn/hy/11352905.m3u8
港产搞笑,http://cfss.cc/cdn/hy/11601960.m3u8
港台警匪,http://cfss.cc/cdn/hy/11352886.m3u8
推荐合集,http://cfss.cc/cdn/hy/11602041.m3u8
强森合集,http://cfss.cc/cdn/hy/21059581.m3u8
宇宙合集,http://cfss.cc/cdn/hy/11342428.m3u8
怪兽合集,http://cfss.cc/cdn/hy/21059577.m3u8
武侠合集,http://cfss.cc/cdn/hy/11342427.m3u8
警匪合集,http://cfss.cc/cdn/hy/11352886.m3u8
罪犯合集,http://cfss.cc/cdn/hy/11352962.m3u8
枪战合集,http://cfss.cc/cdn/hy/21059579.m3u8
热血合集,http://cfss.cc/cdn/hy/11352934.m3u8
贺岁合集,http://cfss.cc/cdn/hy/11601971.m3u8
玄幻合集,http://cfss.cc/cdn/hy/11342414.m3u8
谍战合集,http://cfss.cc/cdn/hy/21059585.m3u8
喜剧合集,http://cfss.cc/cdn/hy/11352877.m3u8
港片合集,http://cfss.cc/cdn/hy/11602043.m3u8
国产合集,http://cfss.cc/cdn/hy/11352973.m3u8
哆啦 A梦,http://cfss.cc/cdn/hy/11601963.m3u8
猫和老鼠,http://cfss.cc/cdn/hy/11352879.m3u8
蜡笔小新,http://cfss.cc/cdn/hy/11352970.m3u8
海绵宝宝,http://cfss.cc/cdn/hy/11352919.m3u8
西部影院,http://cfss.cc/cdn/hy/30311497.m3u8
旋风球技,http://cfss.cc/cdn/hy/11342400.m3u8
吐槽大会,http://cfss.cc/cdn/hy/11342422.m3u8
黑帮斗争,http://cfss.cc/cdn/hy/11342419.m3u8
星爷搞笑,http://cfss.cc/cdn/hy/21136378.m3u8
医馆笑传,http://cfss.cc/cdn/hy/11352891.m3u8
经典好片,http://cfss.cc/cdn/hy/11342427.m3u8
史诗大片,http://cfss.cc/cdn/hy/21059556.m3u8
开心快乐,http://cfss.cc/cdn/hy/11342388.m3u8
中国功夫,http://cfss.cc/cdn/hy/11352941.m3u8
韩国动作,http://cfss.cc/cdn/hy/11352884.m3u8
勇敢的心,http://cfss.cc/cdn/hy/11602037.m3u8
经典好剧,http://cfss.cc/cdn/hy/11602085.m3u8
十大奇冤,http://cfss.cc/cdn/hy/11352899.m3u8
经典喜剧,http://cfss.cc/cdn/hy/11352894.m3u8
异形世界,http://cfss.cc/cdn/hy/21059577.m3u8
电锯惊魂,http://cfss.cc/cdn/hy/11352903.m3u8
天雷滚滚,http://cfss.cc/cdn/hy/11352945.m3u8
港剧经典,http://cfss.cc/cdn/hy/11352965.m3u8
茶啊二中,http://cfss.cc/cdn/hy/11213191.m3u8
喜剧专场,http://cfss.cc/cdn/hy/11602044.m3u8
女神系列,http://cfss.cc/cdn/hy/11336571.m3u8
金庸武侠,http://cfss.cc/cdn/hy/11342435.m3u8
小李飞刀,http://cfss.cc/cdn/hy/11336590.m3u8
魔法世界,http://cfss.cc/cdn/hy/21059580.m3u8
镖行天下,http://cfss.cc/cdn/hy/11352969.m3u8
西部刑侦,http://cfss.cc/cdn/hy/11601972.m3u8
青春爱情,http://cfss.cc/cdn/hy/11602075.m3u8
太空混战,http://cfss.cc/cdn/hy/21059579.m3u8
三国鼎立,http://cfss.cc/cdn/hy/11602077.m3u8
赘婿全集,http://cfss.cc/cdn/hy/21059564.m3u8
东方不败,http://cfss.cc/cdn/hy/11601962.m3u8
最佳搭档,http://cfss.cc/cdn/hy/11342397.m3u8
虎妈猫爸,http://cfss.cc/cdn/hy/11601964.m3u8
活佛济公,http://cfss.cc/cdn/hy/11342400.m3u8
喜剧合家,http://cfss.cc/cdn/hy/11352877.m3u8
谍战神剧,http://cfss.cc/cdn/hy/11342436.m3u8
救援电影,http://cfss.cc/cdn/hy/21059586.m3u8
金庸电影,http://cfss.cc/cdn/hy/11352897.m3u8
鹊刀门传奇,http://cfss.cc/cdn/hy/11352963.m3u8
民兵葛二蛋,http://cfss.cc/cdn/hy/11602072.m3u8
铁道游击队,http://cfss.cc/cdn/hy/11352936.m3u8
新神雕侠侣,http://cfss.cc/cdn/hy/11352964.m3u8
我叫王大锤,http://cfss.cc/cdn/hy/26355850.m3u8
雪中悍刀行,http://cfss.cc/cdn/hy/11336592.m3u8
生活大爆炸,http://cfss.cc/cdn/hy/11342417.m3u8
情满四合院,http://cfss.cc/cdn/hy/11342426.m3u8
金庸经典剧,http://cfss.cc/cdn/hy/11602082.m3u8
五福星全集,http://cfss.cc/cdn/hy/11282233.m3u8
大宋提刑官,http://cfss.cc/cdn/hy/11279251.m3u8
命案十三宗,http://cfss.cc/cdn/hy/11601981.m3u8
特战队出击,http://cfss.cc/cdn/hy/11352973.m3u8
新天龙八部,http://cfss.cc/cdn/hy/20985816.m3u8
美食纪录片,http://cfss.cc/cdn/hy/11352955.m3u8
神医喜来乐,http://cfss.cc/cdn/hy/11601978.m3u8
中华小当家,http://cfss.cc/cdn/hy/11342413.m3u8
搞笑一家人,http://cfss.cc/cdn/hy/11342402.m3u8
倚天屠龙记,http://cfss.cc/cdn/hy/11342403.m3u8
杰森斯坦森,http://cfss.cc/cdn/hy/21059588.m3u8
地下交通站,http://cfss.cc/cdn/hy/11342433.m3u8
陈翔六点半,http://cfss.cc/cdn/hy/11274154.m3u8
神探狄仁杰,http://cfss.cc/cdn/hy/11352958.m3u8
炊事班的故事,http://cfss.cc/cdn/hy/19524135.m3u8
情深深雨濛濛,http://cfss.cc/cdn/hy/11352885.m3u8
穿越千年之恋,http://cfss.cc/cdn/hy/11342398.m3u8
风云雄霸天下,http://cfss.cc/cdn/hy/21059612.m3u8
康熙微服私访,http://cfss.cc/cdn/hy/11342418.m3u8
我的团长我的团,http://cfss.cc/cdn/hy/11352910.m3u8
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.m3u8
 
征服,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601970
沈腾,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601968
王晶,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602058
吴京,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602077
成龙,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342386
徐克,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352909
邓超,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11336592
徐峥,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602043
黄渤,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352876
周星驰,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342412
林正英,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342421
李连杰,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342390
古天乐,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352935
周润发,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342387
刘德华,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342424
梁家辉,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342429
洪金宝,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11279251
张卫健,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342423
庆余年,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352960
赵家班,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352938
芈月传,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352975
婆媳间,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059568
捉妖记,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342414
甄嬛传,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601971
好先生,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602088
铁梨花,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352912
神话片,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352913
鬼吹灯,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352871
宝莲灯,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059563
水浒传,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=26355860
西游记,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=26355861
灰太狼,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23865080
洗冤录,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23903130
寻秦记,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23864973
特工007,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059585
今晚80后,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352961
新版三国,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352944
新版水浒,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342384
天龙八部,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23903123
笑傲江湖,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23865142
神雕侠侣,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23865171
楚汉骄雄,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23740156
金枝欲孽,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23865036
雍正王朝,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342439
康熙王朝,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352940
三国演义,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602081
法证先锋,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=23863804
爱情公寓,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11336726
家有儿女,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352872
士兵突击,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342430
父母爱情,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602071
终极三国,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059562
龙门镖局,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352874
网球王子,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352882
龙岭迷窟,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=29465863
昆仑神宫,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601957
怒晴湘西,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602075
云南虫谷,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352898
南海归墟,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352883
雪山飞狐,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352952
红海行动,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601986
古装情感,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352881
犯罪影片,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352962
小哥美食,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=14363949
朱雀青龙,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352905
港产搞笑,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601960
港台警匪,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352886
推荐合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602041
强森合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059581
宇宙合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342428
怪兽合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059577
武侠合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342427
警匪合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352886
罪犯合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352962
枪战合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059579
热血合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352934
贺岁合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601971
玄幻合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342414
谍战合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059585
喜剧合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352877
港片合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602043
国产合集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352973
哆啦 A梦,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601963
猫和老鼠,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352879
蜡笔小新,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352970
海绵宝宝,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352919
西部影院,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=30311497
旋风球技,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342400
吐槽大会,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342422
黑帮斗争,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342419
星爷搞笑,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21136378
医馆笑传,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352891
经典好片,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342427
史诗大片,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059556
开心快乐,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342388
中国功夫,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352941
韩国动作,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352884
勇敢的心,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602037
经典好剧,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602085
十大奇冤,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352899
经典喜剧,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352894
异形世界,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059577
电锯惊魂,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352903
天雷滚滚,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352945
港剧经典,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352965
茶啊二中,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11213191
喜剧专场,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602044
女神系列,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11336571
金庸武侠,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342435
小李飞刀,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11336590
魔法世界,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059580
镖行天下,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11352969
西部刑侦,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601972
青春爱情,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602075
太空混战,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059579
三国鼎立,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11602077
赘婿全集,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=21059564
东方不败,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601962
最佳搭档,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342397
虎妈猫爸,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11601964
活佛济公,http://113.46.232.109:3366/live/lunbo/huya/hy.php?id=11342400
